id,name,regulationPeriodLength,regulationPeriods,rounds,season,extraTimePeriodLength,cleaned_name,league_season
12377,2023 Pacific Championships - Mens,2400,2,4,2023,,Pacific Championships - Mens,Pacific Championships - Mens (2023)
12378,2023 Pacific Championships - Womens,2400,2,3,2023,,Pacific Championships - Womens,Pacific Championships - Womens (2023)
12395,2023 NZ Secondary Schools Champs,900,4,3,2023,,NZ Secondary Schools Champs,NZ Secondary Schools Champs (2023)
12415,2023 NZ Secondary Schools Champs Finals,900,4,1,2023,,NZ Secondary Schools Champs Finals,NZ Secondary Schools Champs Finals (2023)
12375,2023 FAST5 World Netball Series,360,4,5,2023,,FAST5 World Netball Series,FAST5 World Netball Series (2023)
12376,2023 FAST5 World Netball Series Finals,360,4,1,2023,,FAST5 World Netball Series Finals,FAST5 World Netball Series Finals (2023)
12416,Fast5 Mens 2023,360,4,1,2023,,Fast5 Mens,Fast5 Mens (2023)
12417,Fast5 Mens Final 2023,360,4,1,2023,,Fast5 Mens Final,Fast5 Mens Final (2023)
12457,2024 All Stars,2400,2,1,2024,,All Stars,All Stars (2024)
12445,2024 Telstra NRL Premiership,2400,2,27,2024,,Telstra NRL Premiership,Telstra NRL Premiership (2024)
12446,2024 Telstra NRL Finals,2400,2,4,2024,,Telstra NRL Finals,Telstra NRL Finals (2024)
12455,2024 State of Origin,2400,2,1,2024,,State of Origin,State of Origin (2024)
12458,2024 Women's All Stars,2400,2,1,2024,,Women's All Stars,Women's All Stars (2024)
12447,2024 NRLW,2400,2,9,2024,,NRLW,NRLW (2024)
12448,2024 NRLW Finals,2400,2,2,2024,,NRLW Finals,NRLW Finals (2024)
12456,2024 State of Origin Womens,2400,2,1,2024,,State of Origin Womens,State of Origin Womens (2024)
12465,2024 Netball Nations Cup,900,4,3,2024,,Netball Nations Cup,Netball Nations Cup (2024)
12466,2024 Netball Nations Cup Finals,900,4,1,2024,,Netball Nations Cup Finals,Netball Nations Cup Finals (2024)
12438,2024 Super Netball,900,4,14,2024,,Super Netball,Super Netball (2024)
12439,2024 Super Netball Finals,900,4,3,2024,,Super Netball Finals,Super Netball Finals (2024)
12435,2024 #TeamGirls Cup A,600,4,3,2024,,#TeamGirls Cup A,#TeamGirls Cup A (2024)
12436,2024 #TeamGirls Cup B,600,4,3,2024,,#TeamGirls Cup B,#TeamGirls Cup B (2024)
12437,2024 #TeamGirls Cup Finals,600,4,1,2024,,#TeamGirls Cup Finals,#TeamGirls Cup Finals (2024)
12427,2024 ANZ Premiership,900,4,15,2024,,ANZ Premiership,ANZ Premiership (2024)
12428,2024 ANZ Premiership Finals,900,4,2,2024,,ANZ Premiership Finals,ANZ Premiership Finals (2024)
12545,2024 National Netball League,900,4,10,2024,,National Netball League,National Netball League (2024)
12546,2024 National Netball League,900,4,1,2024,,National Netball League,National Netball League (2024)
12597,Pac. Netball Series,900,4,5,2024,,Pac. Netball Series,Pac. Netball Series (2024)
12598,PNS - Place/Final,900,4,1,2024,,PNS - PlaceFinal,PNS - PlaceFinal (2024)
12606,2024 Constellation Cup,900,4,1,2024,,Constellation Cup,Constellation Cup (2024)
12607,2024 Taini Jamison Trophy,900,4,1,2024,,Taini Jamison Trophy,Taini Jamison Trophy (2024)
12645,2024 England Series,900,4,1,2024,,England Series,England Series (2024)
12675,2024 Mens Aus v NZ,360,4,1,2024,,Mens Aus v NZ,Mens Aus v NZ (2024)
12625,2024 FAST5 World Netball Series,360,4,5,2024,,FAST5 World Netball Series,FAST5 World Netball Series (2024)
12626,2024 FAST5 World Netball Series Finals,360,4,1,2024,,FAST5 World Netball Series Finals,FAST5 World Netball Series Finals (2024)
12695,Fast5 Mens 2024,360,4,1,2024,,Fast5 Mens,Fast5 Mens (2024)
12696,Fast5 Mens Final 2024,360,4,1,2024,,Fast5 Mens Final,Fast5 Mens Final (2024)
